iter	Passed	Remaining
776	3167	909
777	3171	904
778	3174	900
779	3177	896
780	3181	892
781	3186	888
782	3189	884
783	3193	879
784	3196	875
785	3202	871
786	3205	867
787	3208	863
788	3212	859
789	3217	855
790	3221	851
791	3224	846
792	3228	842
793	3233	838
794	3236	834
795	3239	830
796	3243	826
797	3248	822
798	3252	818
799	3255	813
800	3258	809
801	3262	805
802	3265	801
803	3268	796
804	3272	792
805	3275	788
806	3280	784
807	3284	780
808	3287	776
809	3291	771
810	3296	768
811	3299	764
812	3303	759
813	3307	755
814	3312	751
815	3315	747
816	3319	743
817	3323	739
818	3329	735
819	3332	731
820	3335	727
821	3339	723
822	3344	719
823	3348	715
824	3351	710
825	3356	707
826	3359	702
827	3363	698
828	3366	694
829	3370	690
830	3376	686
831	3379	682
832	3383	678
833	3388	674
834	3398	671
835	3401	667
836	3406	663
837	3409	659
838	3413	654
839	3416	650
840	3421	646
841	3425	642
842	3428	638
843	3431	634
844	3437	630
845	3440	626
846	3443	622
847	3447	617
848	3450	613
849	3454	609
850	3457	605
851	3461	601
852	3465	597
853	3470	593
854	3473	589
855	3477	584
856	3482	581
857	3486	576
858	3489	572
859	3492	568
860	3497	564
861	3501	560
862	3505	556
863	3508	552
864	3513	548
865	3517	544
866	3520	540
867	3524	535
868	3529	532
869	3532	527
870	3536	523
871	3539	519
872	3543	515
873	3546	511
874	3549	507
875	3553	502
876	3556	498
877	3561	494
878	3564	490
879	3568	486
880	3571	482
881	3576	478
882	3580	474
883	3583	470
884	3587	466
885	3592	462
886	3595	458
887	3599	453
888	3602	449
889	3608	445
890	3611	441
891	3614	437
892	3618	433
893	3623	429
894	3627	425
895	3630	421
896	3634	417
897	3637	413
898	3641	409
899	3644	404
900	3648	400
901	3653	396
902	3656	392
903	3660	388
904	3663	384
905	3670	380
906	3673	376
907	3676	372
908	3680	368
909	3685	364
910	3688	360
911	3691	356
912	3695	352
913	3700	348
914	3704	344
915	3707	340
916	3711	335
917	3716	331
918	3720	327
919	3723	323
920	3727	319
921	3731	315
922	3734	311
923	3737	307
924	3740	303
925	3745	299
926	3749	295
927	3752	291
928	3756	287
929	3760	283
930	3764	278
931	3767	274
932	3770	270
933	3775	266
934	3779	262
935	3782	258
936	3786	254
937	3790	250
938	3794	246
939	3797	242
940	3801	238
941	3806	234
942	3809	230
943	3813	226
944	3816	222
945	3820	218
946	3824	214
947	3827	209
948	3831	205
949	3835	201
950	3839	197
951	3843	193
952	3846	189
953	3850	185
954	3855	181
955	3858	177
956	3861	173
957	3867	169
958	3870	165
959	3873	161
960	3877	157
961	3882	153
962	3886	149
963	3889	145
964	3893	141
965	3898	137
966	3902	133
967	3905	129
968	3909	125
969	3913	121
970	3916	116
971	3919	112
972	3923	108
973	3927	104
974	3931	100
975	3934	96
976	3937	92
977	3943	88
978	3946	84
979	3949	80
980	3953	76
981	3958	72
982	3961	68
983	3965	64
984	3968	60
985	3974	56
986	3977	52
987	3980	48
988	3983	44
989	3989	40
990	3992	36
991	3996	32
992	3999	28
993	4003	24
994	4006	20
995	4009	16
996	4013	12
997	4016	8
998	4021	4
999	4024	0
